path,bytes,mtime_iso,git_last_commit_iso,ref_count_heuristic
backend/app/__init__.py,0,2026-05-08 02:59:34,2026-07-17,40
backend/app/core/__init__.py,0,2026-05-08 02:59:34,2026-07-17,41
backend/app/core/archive.py,3062,2026-07-12 23:16:04,2026-07-17,19
backend/app/core/config.py,10114,2026-07-18 00:35:37,2026-07-17,108
backend/app/core/database.py,33445,2026-07-18 00:35:37,2026-07-17,96
backend/app/core/exceptions.py,438,2026-07-12 01:06:09,2026-07-17,26
backend/app/core/oauth_state.py,1648,2026-07-10 09:19:15,2026-07-17,5
backend/app/core/paths.py,3094,2026-07-12 23:16:04,2026-07-17,30
backend/app/core/restore.py,8797,2026-07-13 01:33:59,2026-07-17,51
backend/app/core/security.py,3879,2026-07-18 14:53:28,2026-07-18,34
backend/app/core/startup_checks.py,5479,2026-07-17 22:43:11,2026-07-17,2
backend/app/main.py,17366,2026-07-17 22:43:11,2026-07-17,109
backend/app/models/backup.py,3738,2026-07-17 22:43:11,2026-07-17,65
backend/app/models/contact.py,3942,2026-07-18 00:35:37,2026-07-17,26
backend/app/models/contact_group.py,1618,2026-07-12 01:06:09,2026-07-17,2
backend/app/models/email_account.py,2158,2026-07-12 01:06:09,2026-07-17,11
backend/app/models/email_attachment.py,1288,2026-07-12 01:06:09,2026-07-17,2
backend/app/models/email_folder.py,2096,2026-07-12 01:06:09,2026-07-17,5
backend/app/models/email_message.py,3942,2026-07-15 15:54:48,2026-07-17,8
backend/app/models/embedding.py,799,2026-05-26 17:42:24,2026-07-17,27
backend/app/models/entry.py,2952,2026-07-13 01:33:59,2026-07-17,141
backend/app/models/google_sync.py,2016,2026-07-18 00:35:37,2026-07-17,6
backend/app/models/media.py,1476,2026-05-26 17:42:24,2026-07-17,126
backend/app/models/note.py,6113,2026-07-13 01:33:59,2026-07-17,86
backend/app/models/note_media.py,1409,2026-07-13 01:33:59,2026-07-17,5
backend/app/models/prompt.py,446,2026-05-26 17:42:24,2026-07-17,43
backend/app/models/recording.py,1772,2026-06-26 22:11:59,2026-07-17,49
backend/app/models/reflection_prompt.py,654,2026-05-26 17:42:24,2026-07-17,7
backend/app/models/reminder.py,1121,2026-05-26 17:42:24,2026-07-17,28
backend/app/models/schedule_event.py,2828,2026-07-17 22:43:11,2026-07-17,4
backend/app/models/sentiment.py,935,2026-05-26 17:42:24,2026-07-17,19
backend/app/models/spam_blocklist.py,1501,2026-07-12 01:06:09,2026-07-17,2
backend/app/models/sync.py,1834,2026-05-26 17:42:24,2026-07-17,223
backend/app/models/tag.py,1601,2026-07-03 17:30:55,2026-07-17,126
backend/app/models/task.py,3866,2026-07-17 22:43:11,2026-07-17,45
backend/app/models/template.py,768,2026-05-26 17:42:24,2026-07-17,108
backend/app/models/video_note.py,1102,2026-06-26 22:11:59,2026-07-17,6
backend/app/routers/__init__.py,0,2026-05-08 02:59:34,2026-07-17,41
backend/app/routers/ai.py,9688,2026-07-13 01:33:59,2026-07-17,-
backend/app/routers/analytics.py,2657,2026-06-27 12:03:58,2026-07-17,16
backend/app/routers/backup.py,13262,2026-07-17 22:43:11,2026-07-17,66
backend/app/routers/box.py,6317,2026-07-18 14:53:28,2026-07-18,57
backend/app/routers/contacts.py,7545,2026-07-18 14:53:28,2026-07-18,23
backend/app/routers/dropbox.py,4850,2026-07-18 14:53:28,2026-07-18,15
backend/app/routers/email.py,13945,2026-07-13 01:33:59,2026-07-17,53
backend/app/routers/encryption.py,4967,2026-07-13 01:33:59,2026-07-17,33
backend/app/routers/entries.py,31977,2026-07-18 14:53:28,2026-07-18,114
backend/app/routers/export.py,1855,2026-06-24 23:25:10,2026-07-17,92
backend/app/routers/google_drive.py,9205,2026-07-18 14:53:28,2026-07-18,17
backend/app/routers/google_sync.py,6610,2026-07-18 00:35:37,2026-07-17,7
backend/app/routers/media.py,5618,2026-07-17 22:43:11,2026-07-17,127
backend/app/routers/memorial.py,6620,2026-07-14 19:43:26,2026-07-17,11
backend/app/routers/notes.py,12067,2026-07-17 22:43:11,2026-07-17,71
backend/app/routers/onedrive.py,4903,2026-07-18 14:53:28,2026-07-18,13
backend/app/routers/planner.py,6166,2026-07-13 01:33:59,2026-07-17,17
backend/app/routers/prompts.py,887,2026-05-27 00:42:24,2026-07-17,27
backend/app/routers/recordings.py,3277,2026-06-26 22:11:59,2026-07-17,32
backend/app/routers/reminders.py,2009,2026-05-26 17:42:24,2026-07-17,27
backend/app/routers/search.py,1394,2026-05-26 17:42:24,2026-07-17,74
backend/app/routers/settings.py,11337,2026-07-13 01:33:59,2026-07-17,79
backend/app/routers/sync.py,6425,2026-07-17 22:43:11,2026-07-17,223
backend/app/routers/tags.py,4200,2026-07-18 14:53:28,2026-07-18,90
backend/app/routers/templates.py,1313,2026-05-26 17:42:24,2026-07-17,21
backend/app/routers/tts.py,14543,2026-07-14 01:20:46,2026-07-17,22
backend/app/routers/video_notes.py,2161,2026-06-26 22:11:59,2026-07-17,5
backend/app/schemas/__init__.py,0,2026-05-08 02:59:34,2026-07-17,41
backend/app/schemas/ai.py,7063,2026-07-13 01:33:59,2026-07-17,-
backend/app/schemas/analytics.py,1423,2026-05-26 17:42:24,2026-07-17,17
backend/app/schemas/backup.py,1622,2026-07-10 09:19:15,2026-07-17,66
backend/app/schemas/contact.py,6017,2026-07-13 01:33:59,2026-07-17,27
backend/app/schemas/email.py,6104,2026-07-15 15:54:48,2026-07-17,53
backend/app/schemas/encryption.py,1359,2026-07-13 01:33:59,2026-07-17,34
backend/app/schemas/entry.py,3050,2026-07-13 01:33:59,2026-07-17,142
backend/app/schemas/geotagging.py,965,2026-05-26 17:42:24,2026-07-17,3
backend/app/schemas/media.py,526,2026-07-13 01:33:59,2026-07-17,127
backend/app/schemas/note.py,3981,2026-07-13 01:33:59,2026-07-17,87
backend/app/schemas/note_media.py,632,2026-07-03 17:30:55,2026-07-17,7
backend/app/schemas/planner.py,4586,2026-07-15 15:54:48,2026-07-17,19
backend/app/schemas/prompt.py,256,2026-05-26 17:42:24,2026-07-17,44
backend/app/schemas/recording.py,339,2026-06-26 22:11:59,2026-07-17,50
backend/app/schemas/reminder.py,1498,2026-05-26 17:42:24,2026-07-17,29
backend/app/schemas/revision.py,923,2026-05-26 17:42:24,2026-07-17,5
backend/app/schemas/search.py,917,2026-07-13 01:33:59,2026-07-17,75
backend/app/schemas/sync.py,1268,2026-05-26 17:42:24,2026-07-17,223
backend/app/schemas/tag.py,889,2026-05-26 17:42:24,2026-07-17,127
backend/app/schemas/template.py,883,2026-05-26 17:42:24,2026-07-17,109
backend/app/schemas/video_note.py,483,2026-06-26 22:11:59,2026-07-17,8
backend/app/services/__init__.py,0,2026-05-08 02:59:34,2026-07-17,41
backend/app/services/ai_tool_registry.py,6601,2026-06-23 21:37:13,2026-07-17,2
backend/app/services/analytics_service.py,9983,2026-07-18 14:53:28,2026-07-18,4
backend/app/services/backup_service.py,24121,2026-07-15 15:54:48,2026-07-17,11
backend/app/services/calendar_sync_service.py,12481,2026-07-17 22:43:11,2026-07-17,2
backend/app/services/cloud_sync_service.py,50690,2026-07-15 15:54:48,2026-07-17,10
backend/app/services/contact_service.py,35069,2026-07-18 14:53:28,2026-07-18,4
backend/app/services/email_protocol.py,13196,2026-07-15 15:54:48,2026-07-17,4
backend/app/services/email_service.py,46157,2026-07-18 14:53:28,2026-07-18,6
backend/app/services/encryption_service.py,6941,2026-07-13 01:33:59,2026-07-17,10
backend/app/services/enrichment_service.py,6005,2026-07-18 14:53:28,2026-07-18,3
backend/app/services/entry_service.py,12979,2026-07-18 14:53:28,2026-07-18,11
backend/app/services/export_service.py,12616,2026-07-13 01:33:59,2026-07-17,3
backend/app/services/google_oauth.py,6649,2026-07-18 00:35:37,2026-07-17,4
backend/app/services/google_sync_service.py,3119,2026-07-18 00:35:37,2026-07-17,4
backend/app/services/importers/__init__.py,447,2026-07-10 09:19:15,2026-07-17,41
backend/app/services/importers/csv.py,2483,2026-07-15 15:54:48,2026-07-17,10
backend/app/services/importers/dayone.py,2122,2026-07-15 15:54:48,2026-07-17,4
backend/app/services/media_service.py,11528,2026-07-13 01:33:59,2026-07-17,12
backend/app/services/note_media_service.py,7359,2026-07-13 01:33:59,2026-07-17,2
backend/app/services/note_service.py,13408,2026-07-13 01:33:59,2026-07-17,3
backend/app/services/ocr_service.py,982,2026-07-17 22:43:11,2026-07-17,7
backend/app/services/ollama_service.py,22606,2026-07-13 01:33:59,2026-07-17,15
backend/app/services/planner_service.py,14688,2026-07-18 14:53:28,2026-07-18,2
backend/app/services/recording_service.py,7363,2026-07-13 01:33:59,2026-07-17,6
backend/app/services/reminder_service.py,3728,2026-06-24 23:25:10,2026-07-17,4
backend/app/services/scheduler_service.py,39548,2026-07-18 14:53:28,2026-07-18,17
backend/app/services/search_service.py,15061,2026-07-13 01:33:59,2026-07-17,6
backend/app/services/semantic_cache.py,7458,2026-07-15 15:54:48,2026-07-17,5
backend/app/services/spam_service.py,10287,2026-07-15 15:54:48,2026-07-17,5
backend/app/services/storage_service.py,7844,2026-07-15 15:54:48,2026-07-17,6
backend/app/services/tag_service.py,4722,2026-07-18 14:53:28,2026-07-18,3
backend/app/services/tasks_sync_service.py,9975,2026-07-17 22:43:11,2026-07-17,2
backend/app/services/template_service.py,1790,2026-05-26 17:42:24,2026-07-17,3
backend/app/services/video_service.py,3419,2026-07-13 01:33:59,2026-07-17,5
backend/app/services/web_clip_service.py,4356,2026-07-17 22:43:11,2026-07-17,2
